"Status","Species.Listing.Name","kingdom","organism","species","rank","class","taxonkey"
"T","Gnatcatcher, coastal CaliforniaÂ Wherever found                          (Polioptila californica californica)","animal","Gnatcatcher","Polioptila californica californica","SUBSPECIES","Aves",2487600
"E","Goby, tidewaterÂ Wherever found                          (Eucyclogobius newberryi)","animal","Goby","Eucyclogobius newberryi","SPECIES","Actinopterygii",2378650
"E","Grasshopper, Zayante band-wingedÂ Wherever found                          (Trimerotropis infantilis)","animal","Grasshopper","Trimerotropis infantilis","SPECIES","Insecta",1709171
"E","Kangaroo rat, Morro BayÂ Wherever found                          (Dipodomys heermanni morroensis)","animal","Kangaroo rat","Dipodomys heermanni morroensis","SUBSPECIES","Mammalia",2439536
"E","Kangaroo rat, giantÂ Wherever found                          (Dipodomys ingens)","animal","Kangaroo rat","Dipodomys ingens","SPECIES","Mammalia",2439550
"E","Kangaroo rat, San Bernardino Merriam'sÂ Wherever found                          (Dipodomys merriami parvus)","animal","Kangaroo rat","Dipodomys merriami parvus","SUBSPECIES","Mammalia",2439521
"E","Kangaroo rat, FresnoÂ Wherever found                          (Dipodomys nitratoides exilis)","animal","Kangaroo rat","Dipodomys nitratoides exilis","SUBSPECIES","Mammalia",2439524
"E","Kangaroo rat, TiptonÂ Wherever found                          (Dipodomys nitratoides nitratoides)","animal","Kangaroo rat","Dipodomys nitratoides nitratoides","SUBSPECIES","Mammalia",2439524
"E","Kangaroo rat, Stephens'Â Wherever found                          (Dipodomys stephensi (incl. D. cascus))","animal","Kangaroo rat","Dipodomys stephensi","SPECIES","Mammalia",2439542
"E","Lizard, blunt-nosed leopardÂ Wherever found                          (Gambelia silus)","animal","Lizard","Gambelia silus","SPECIES","Reptilia",5227128
"T","Lizard, Coachella Valley fringe-toedÂ Wherever found                          (Uma inornata)","animal","Lizard","Uma inornata","SPECIES","Reptilia",2451133
"T","Lynx, CanadaÂ Contiguous U.S. DPS                          (Lynx canadensis)","animal","Lynx","Lynx canadensis","SPECIES","Mammalia",2435263
"T","Moth, Kern primrose sphinxÂ Wherever found                          (Euproserpinus euterpe)","animal","Moth","Euproserpinus euterpe","SPECIES","Insecta",1862664
"E","Mountain beaver, Point ArenaÂ Wherever found                          (Aplodontia rufa nigra)","animal","Mountain beaver","Aplodontia rufa nigra","SUBSPECIES","Mammalia",2439690
"E","Mouse, Pacific pocketÂ Wherever found                          (Perognathus longimembris pacificus)","animal","Mouse","Perognathus longimembris pacificus","SUBSPECIES","Mammalia",2439563
"E","Mouse, salt marsh harvestÂ wherever found                          (Reithrodontomys raviventris)","animal","Mouse","Reithrodontomys raviventris","SPECIES","Mammalia",2437867
"T","Murrelet, marbledÂ U.S.A. (CA, OR, WA)                          (Brachyramphus marmoratus)","animal","Murrelet","Brachyramphus marmoratus","SPECIES","Aves",5229281
"T","Otter, southern seaÂ Wherever found                          (Enhydra lutris nereis)","animal","Otter","Enhydra lutris nereis","SUBSPECIES","Mammalia",2433670
"T","Owl, northern spottedÂ Wherever found                          (Strix occidentalis caurina)","animal","Owl","Strix occidentalis caurina","SUBSPECIES","Aves",2497487
"E","Pikeminnow (=squawfish), ColoradoÂ Wherever found, except where listed as an experimental population                          (Ptychocheilus lucius)","animal","Pikeminnow (=squawfish)","Ptychocheilus lucius","SPECIES","Actinopterygii",5205692
"T","Plover, western snowyÂ Pacific Coast population DPS-U.S.A. (CA, OR, WA), Mexico (within 50 miles of Pacific coast)                          (Charadrius alexandrinus nivosus)","animal","Plover","Charadrius alexandrinus nivosus","SUBSPECIES","Aves",6065879
"E","Pupfish, desertÂ Wherever found                          (Cyprinodon macularius)","animal","Pupfish","Cyprinodon macularius","SPECIES","Actinopterygii",2347892
"E","Pupfish, OwensÂ Wherever found                          (Cyprinodon radiosus)","animal","Pupfish","Cyprinodon radiosus","SPECIES","Actinopterygii",2347874
"E","Rabbit, riparian brushÂ Wherever found                          (Sylvilagus bachmani riparius)","animal","Rabbit","Sylvilagus bachmani riparius","SUBSPECIES","Mammalia",2436846
"E","Rail, light-footed clapperÂ Wherever found                          (Rallus longirostris levipes)","animal","Rail","Rallus longirostris levipes","SUBSPECIES","Aves",2474801
"E","Rail, California clapperÂ Wherever found                          (Rallus longirostris obsoletus)","animal","Rail","Rallus longirostris obsoletus","SUBSPECIES","Aves",2474801
"E","Rail, Yuma clapperÂ Wherever found                          (Rallus longirostris yumanensis)","animal","Rail","Rallus longirostris yumanensis","SUBSPECIES","Aves",2474801
"E","Salamander, Santa Cruz long-toedÂ Wherever found                          (Ambystoma macrodactylum croceum)","animal","Salamander","Ambystoma californiense","SPECIES","Amphibia",2431960
"E","Salamander, desert slenderÂ Wherever found                          (Batrachoseps aridus)","animal","Salamander","Ambystoma californiense","SPECIES","Amphibia",2431960
"E","Salamander, California tigerÂ U.S.A. (CA - Santa Barbara County)                          (Ambystoma californiense)","animal","Salamander","Ambystoma californiense","SPECIES","Amphibia",2431960
"E","Salamander, California tigerÂ U.S.A. (CA - Sonoma County)                          (Ambystoma californiense)","animal","Salamander","Ambystoma macrodactylum croceum","SUBSPECIES","Amphibia",2431965
"T","Salamander, California tigerÂ U.S.A. (Central CA DPS)                          (Ambystoma californiense)","animal","Salamander","Batrachoseps aridus","SPECIES","Amphibia",2431763
"E","Salmon, cohoÂ Central California Coast ESU                          (Oncorhynchus (=Salmo) kisutch)","animal","Salmon","Oncorhynchus kisutch","SPECIES","Actinopterygii",5204034
"T","Salmon, cohoÂ Southern Oregon - Northern California Coast ESU                          (Oncorhynchus (=Salmo) kisutch)","animal","Salmon","Oncorhynchus kisutch","SPECIES","Actinopterygii",5204034
"T","Salmon, ChinookÂ California Coastal ESU                          (Oncorhynchus (=Salmo) tshawytscha)","animal","Salmon","Oncorhynchus tshawytscha","SPECIES","Actinopterygii",5204024
"E","Sea turtle, leatherbackÂ Wherever found                          (Dermochelys coriacea)","animal","Sea turtle","Dermochelys coriacea","SPECIES","Reptilia",2441866
"T","Sea turtle, olive ridleyÂ Except where endangered                          (Lepidochelys olivacea)","animal","Sea turtle","Lepidochelys olivacea","SPECIES","Reptilia",2442153
"T","Seal, Guadalupe furÂ Wherever found                          (Arctocephalus townsendi)","animal","Seal","Arctocephalus townsendi","SPECIES","Mammalia",2433478
