,Status,Species/Listing Name,animal,sp_name,alt_name
91,T,SteelheadÂ Northern California DPS                          (Oncorhynchus (=Salmo) mykiss),Steelhead,Oncorhynchus mykiss,Salmo mykiss
92,E,SteelheadÂ Southern California DPS                          (Oncorhynchus (=Salmo) mykiss),Steelhead,Oncorhynchus mykiss,Salmo mykiss
93,E,"Stickleback, unarmored threespineÂ Wherever found                          (Gasterosteus aculeatus williamsoni)",Stickleback,Gasterosteus aculeatus williamsoni,
94,T,"sturgeon, greenÂ Southern DPS                          (Acipenser medirostris)",sturgeon,Acipenser medirostris,
95,E,"Sucker, Lost RiverÂ Wherever found                          (Deltistes luxatus)",Sucker,Deltistes luxatus,
96,E,"Sucker, razorbackÂ Wherever found                          (Xyrauchen texanus)",Sucker,Xyrauchen texanus,
97,T,"Sucker, Santa AnaÂ 3 CA river basins                          (Catostomus santaanae)",Sucker,Catostomus santaanae,
98,E,"Sucker, shortnoseÂ Wherever found                          (Chasmistes brevirostris)",Sucker,Chasmistes brevirostris,
99,T,"Sucker, WarnerÂ Wherever found                          (Catostomus warnerensis)",Sucker,Catostomus warnerensis,
100,E,"Tadpole shrimp, vernal poolÂ Wherever found                          (Lepidurus packardi)",Tadpole shrimp,Lepidurus packardi,
101,E,"Tern, California leastÂ Wherever found                          (Sterna antillarum browni)",Tern,Sterna antillarum browni,
102,E,"Tiger beetle, OhloneÂ Wherever found                          (Cicindela ohlone)",Tiger beetle,Cicindela ohlone,
103,E,"Toad, arroyo (=arroyo southwestern)Â Wherever found                          (Anaxyrus californicus)",Toad,Anaxyrus californicus,
104,T,"toad, YosemiteÂ Wherever found                          (Anaxyrus canorus)",toad,Anaxyrus canorus,
105,T,"Tortoise, desertÂ Wherever found, except AZ south and east of Colorado R., and Mexico                          (Gopherus agassizii)",Tortoise,Gopherus agassizii,
106,T,"Towhee, Inyo CaliforniaÂ Wherever found                          (Pipilo crissalis eremophilus)",Towhee,Pipilo crissalis eremophilus,
107,T,"Trout, Lahontan cutthroatÂ Wherever found                          (Oncorhynchus clarkii henshawi)",Trout,Oncorhynchus clarkii henshawi,
108,T,"Trout, Little Kern goldenÂ Wherever found                          (Oncorhynchus aguabonita whitei)",Trout,Oncorhynchus aguabonita whitei,
109,T,"Trout, Paiute cutthroatÂ Wherever found                          (Oncorhynchus clarkii seleniris)",Trout,Oncorhynchus clarkii seleniris,
110,E,"Tui chub, MohaveÂ Wherever found                          (Gila bicolor ssp. mohavensis)",Tui chub,Gila bicolor ssp. mohavensis,
111,E,"Vireo, least Bell'sÂ Wherever found                          (Vireo bellii pusillus)",Vireo,Vireo bellii pusillus,
112,E,"Vole, AmargosaÂ Wherever found                          (Microtus californicus scirpensis)",Vole,Microtus californicus scirpensis,
113,E,"Whale, blueÂ Wherever found                          (Balaenoptera musculus)",Whale,Balaenoptera musculus,
114,E,"Whale, finbackÂ Wherever found                          (Balaenoptera physalus)",Whale,Balaenoptera physalus,
115,E,"Whale, SeiÂ Wherever found                          (Balaenoptera borealis)",Whale,Balaenoptera borealis,
116,E,"Whale, spermÂ Wherever found                          (Physeter catodon (=macrocephalus))",Whale,Physeter catodon,Physeter macrocephalus
117,T,"Whipsnake (=striped racer), AlamedaÂ Wherever found                          (Masticophis lateralis euryxanthus)",Whipsnake,Masticophis lateralis euryxanthus,
118,E,"Wolf, grayÂ U.S.A.: All of AL, AR, CA, CO, CT, DE, FL, GA, IA, IN, IL, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, ND, NE, NH, NJ, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, and WV; and portions of AZ, NM, OR, UT, and WA. Mexico.                          (Canis lupus)",Wolf,Canis lupus,
119,E,"Woodrat, riparian (=San Joaquin Valley)Â Wherever found                          (Neotoma fuscipes riparia)",Woodrat,Neotoma fuscipes riparia,
